
                                    #######################################################                                            
                                    #                        PDG data                     #                                            
                                    #      Default File name: data/pdg_hadrons.dat        #                                            
                                    #######################################################                                            


---------------------------------------------------------------------------------------------------------------------------------------
ID     PDGID          Name                isStable  mass(in GeV)  Spin Degeneracy     Baryon number(B)  Charge(Q)  Strangeness(S)      
164    9000313        K1(1650)0           0         1.65          3                   0                 0          1             
165    -9000323       K1(1650)+b          0         1.65          3                   0                 -1         -1            
166    -9000313       K1(1650)0b          0         1.65          3                   0                 0          -1            
167    -32212         N(1650)+b           0         1.65          2                   -1                -1         0             
168    -32112         N(1650)0b           0         1.65          2                   -1                0          0             
169    13222          Sigma(1660)+        0         1.66          2                   1                 1          -1            
170    13212          Sigma(1660)0        0         1.66          2                   1                 0          -1            
171    13112          Sigma(1660)-        0         1.66          2                   1                 -1         -1            
172    -13222         Sigma(1660)+b       0         1.66          2                   -1                -1         1             
173    -13212         Sigma(1660)0b       0         1.66          2                   -1                0          1             
174    -13112         Sigma(1660)-b       0         1.66          2                   -1                1          1             
175    9010213        pi1(1600)+          0         1.662         3                   0                 1          0             
176    9010113        pi1(1600)0          0         1.662         3                   0                 0          0             
177    -9010213       pi1(1600)+b         0         1.662         3                   0                 -1         0             
178    227            omega3(1670)        0         1.667         7                   0                 0          0             
179    13114          Sigma(1670)-        0         1.67          4                   1                 -1         -1            
180    13224          Sigma(1670)+        0         1.67          4                   1                 1          -1            
181    13214          Sigma(1670)0        0         1.67          4                   1                 0          -1            
182    33122          Lambda(1670)        0         1.67          2                   1                 0          -1            
183    10115          pi2(1670)0          0         1.67          5                   0                 0          0             
184    10215          pi2(1670)+          0         1.67          5                   0                 1          0             
185    -33122         Lambda(1670)b       0         1.67          2                   -1                0          1             
186    -13224         Sigma(1670)+b       0         1.67          4                   -1                -1         1             
187    -13214         Sigma(1670)0b       0         1.67          4                   -1                0          1             
188    -13114         Sigma(1670)-b       0         1.67          4                   -1                1          1             
189    -10215         pi2(1670)+b         0         1.67          5                   0                 -1         0             
190    3334           Omega               1         1.67245       4                   1                 -1         -3            
191    -3334          Omegab              1         1.67245       4                   -1                1          3             
192    2116           N(1675)0            0         1.675         6                   1                 0          0             
193    2216           N(1675)+            0         1.675         6                   1                 1          0             
194    -2216          N(1675)+b           0         1.675         6                   -1                -1         0             
195    -2116          N(1675)0b           0         1.675         6                   -1                0          0             
196    12116          N(1680)0            0         1.68          6                   1                 0          0             
197    12216          N(1680)+            0         1.68          6                   1                 1          0             
198    100333         phi(1680)           0         1.68          3                   0                 0          0             
199    -12216         N(1680)+b           0         1.68          6                   -1                -1         0             
200    -12116         N(1680)0b           0         1.68          6                   -1                0          0             
201    23324          Ksi(1690)0          0         1.69          4                   1                 0          -2            
202    23314          Ksi(1690)-          0         1.69          4                   1                 -1         -2            
203    13124          Lambda(1690)        0         1.69          4                   1                 0          -1            
204    -23324         Ksi(1690)0b         0         1.69          4                   -1                0          2             
205    -23314         Ksi(1690)-b         0         1.69          4                   -1                1          2             
206    -13124         Lambda(1690)b       0         1.69          4                   -1                0          1             
207    217            rho3(1690)+         0         1.691         7                   0                 1          0             
208    117            rho3(1690)0         0         1.691         7                   0                 0          0             
209    -217           rho3(1690)+b        0         1.691         7                   0                 -1         0             
210    22124          N(1700)+            0         1.7           4                   1                 1          0             
211    12224          Delta(1700)++       0         1.7           4                   1                 2          0             
212    30113          rho(1700)0          0         1.7           3                   0                 0          0             
213    30213          rho(1700)+          0         1.7           3                   0                 1          0             
214    12214          Delta(1700)+        0         1.7           4                   1                 1          0             
