233
9000221					
2					
0.0175	4	323	-211	211	-211
0.0175	4	313	111	111	111
0.0175	4	313	211	-211	111
0.019	3	213	311	-211	
0.019	3	113	311	111	
0.019	3	113	321	-211	
0.016667	3	223	311	111	
0.033333	3	223	321	-211	
0.009333	3	333	311	111	
0.018667	3	333	321	-211	
0.014	2	333	313		
329					
19					
0.066	2	211	311		
0.033	2	111	321		
0.03	3	323	211	-211	
0.03	3	323	111	111	
0.03	3	313	211	111	
0.0175	4	323	211	-211	111
0.0175	4	323	111	111	111
0.0175	4	313	211	111	111
0.0175	4	313	211	211	-211
0.0114	3	213	311	111	
0.0114	3	213	321	-211	
0.0114	3	113	321	111	
0.0114	3	113	311	211	
0.0114	3	-213	321	211	
0.033333	3	223	211	311	
0.016667	3	223	111	321	
0.018667	3	333	311	211	
0.009333	3	333	321	111	
