432
-23122	Lm(1600)zrb	0	1.6	2	-1	0	1
10225	eta2(1645)zer	0	1.617	5	0	0	0
2222	Dl(1620)plp	0	1.62	2	1	2	0
2122	Dl(1620)plu	0	1.62	2	1	1	0
1212	Dl(1620)zer	0	1.62	2	1	0	0
1112	Dl(1620)min	0	1.62	2	1	-1	0
-2222	Dl(1620)ppb	0	1.62	2	-1	-2	0
-2122	Dl(1620)plb	0	1.62	2	-1	-1	0
-1212	Dl(1620)zrb	0	1.62	2	-1	0	0
-1112	Dl(1620)mnb	0	1.62	2	-1	1	0
9020225	f2(1640)zer	0	1.639	5	0	0	0
9020213	a1(1640)plu	0	1.647	3	0	1	0
-9020213	a1(1640)min	0	1.647	3	0	-1	0
9020113	a1(1640)zer	0	1.647	3	0	0	0
32212	Ns(1650)plu	0	1.65	2	1	1	0
32112	Ns(1650)zer	0	1.65	2	1	0	0
-32212	Ns(1650)plb	0	1.65	2	-1	-1	0
-32112	Ns(1650)zrb	0	1.65	2	-1	0	0
9000323	K1(1650)plu	0	1.65	3	0	1	1
-9000323	K1(1650)min	0	1.65	3	0	-1	-1
9000313	K1(1650)zer	0	1.65	3	0	0	1
-9000313	K1(1650)zrb	0	1.65	3	0	0	-1
30223	omega(1650)zer	0	1.65	3	0	0	0
13222	Sg(1660)plu	0	1.66	2	1	1	-1
13112	Sg(1660)min	0	1.66	2	1	-1	-1
13212	Sg(1660)zer	0	1.66	2	1	0	-1
-13222	Sg(1660)plb	0	1.66	2	-1	-1	1
-13112	Sg(1660)mnb	0	1.66	2	-1	1	1
-13212	Sg(1660)zrb	0	1.66	2	-1	0	1
227	omega3(1670)zer	0	1.667	7	0	0	0
33122	Lm(1670)zer	0	1.67	2	1	0	-1
-33122	Lm(1670)zrb	0	1.67	2	-1	0	1
13224	Sg(1670)plu	0	1.67	4	1	1	-1
13114	Sg(1670)min	0	1.67	4	1	-1	-1
13214	Sg(1670)zer	0	1.67	4	1	0	-1
-13224	Sg(1670)plb	0	1.67	4	-1	-1	1
-13114	Sg(1670)mnb	0	1.67	4	-1	1	1
-13214	Sg(1670)zrb	0	1.67	4	-1	0	1
10215	pi2(1670)plu	0	1.672	5	0	1	0
-10215	pi2(1670)min	0	1.672	5	0	-1	0
10115	pi2(1670)zer	0	1.672	5	0	0	0
3334	Omega(1672)min	1	1.67245	4	1	-1	-3
-3334	Omega(1672)mnb	1	1.67245	4	-1	1	3
2216	Ns(1675)plu	0	1.675	6	1	1	0
2116	Ns(1675)zer	0	1.675	6	1	0	0
-2216	Ns(1675)plb	0	1.675	6	-1	-1	0
-2116	Ns(1675)zrb	0	1.675	6	-1	0	0
12216	Ns(1680)plu	0	1.68	6	1	1	0
12116	Ns(1680)zer	0	1.68	6	1	0	0
-12216	Ns(1680)plb	0	1.68	6	-1	-1	0
-12116	Ns(1680)zrb	0	1.68	6	-1	0	0
100333	phi(1680)zer	0	1.68	3	0	0	0
217	rho3(1690)plu	0	1.688	7	0	1	0
-217	rho3(1690)min	0	1.688	7	0	-1	0
117	rho3(1690)zer	0	1.688	7	0	0	0
13124	Lm(1690)zer	0	1.69	4	1	0	-1
-13124	Lm(1690)zrb	0	1.69	4	-1	0	1
23314	Xi(1690)min	0	1.69	4	1	-1	-2
-23314	Xi(1690)mnb	0	1.69	4	-1	1	2
23324	Xi(1690)zer	0	1.69	4	1	0	-2
-23324	Xi(1690)zrb	0	1.69	4	-1	0	2
22124	Ns(1700)plu	0	1.7	4	1	1	0
21214	Ns(1700)zer	0	1.7	4	1	0	0
-22124	Ns(1700)plb	0	1.7	4	-1	-1	0
-21214	Ns(1700)zrb	0	1.7	4	-1	0	0
12224	Dl(1700)plp	0	1.7	4	1	2	0
12214	Dl(1700)plu	0	1.7	4	1	1	0
12114	Dl(1700)zer	0	1.7	4	1	0	0
11114	Dl(1700)min	0	1.7	4	1	-1	0
-12224	Dl(1700)ppb	0	1.7	4	-1	-2	0
-12214	Dl(1700)plb	0	1.7	4	-1	-1	0
-12114	Dl(1700)zrb	0	1.7	4	-1	0	0
